County,Census,Estimates Base,Today,,,,,
Henderson,"106,740","106,719",117417,,,".Henderson County, North Carolina",,,
Hertford,"24,669","24,677",23677,,,".Hertford County, North Carolina",,,
Hoke,"46,952","46,889",55234,,,".Hoke County, North Carolina",,,
Hyde,"5,810","5,817",4937,,,".Hyde County, North Carolina",,,
Iredell,"159,437","159,464",181806,,,".Iredell County, North Carolina",,,
Jackson,"40,271","40,270",43938,,,".Jackson County, North Carolina",,,
Johnston,"168,878","168,878",209339,,,".Johnston County, North Carolina",,,
Jones,"10,153","10,167",9419,,,".Jones County, North Carolina",,,
Lee,"57,866","57,849",61779,,,".Lee County, North Carolina",,,
Lenoir,"59,495","59,507",55949,,,".Lenoir County, North Carolina",,,
Lincoln,"78,265","78,014",86111,,,".Lincoln County, North Carolina",,,
McDowell,"44,996","45,002",45756,,,".McDowell County, North Carolina",,,
Macon,"33,922","33,925",35858,,,".Macon County, North Carolina",,,
Madison,"20,764","20,782",21755,,,".Madison County, North Carolina",,,
Martin,"24,505","24,515",22440,,,".Martin County, North Carolina",,,
Mecklenburg,"919,628","919,664",1110356,,,".Mecklenburg County, North Carolina",,,
Mitchell,"15,579","15,581",14964,,,".Mitchell County, North Carolina",,,
Montgomery,"27,798","27,782",27173,,,".Montgomery County, North Carolina",,,
Moore,"88,247","88,250",100880,,,".Moore County, North Carolina",,,
Nash,"95,840","95,829",94298,,,".Nash County, North Carolina",,,
New Hanover,"202,667","202,683",234473,,,".New Hanover County, North Carolina",,,
Northampton,"22,099","22,106",19483,,,".Northampton County, North Carolina",,,
Onslow,"177,772","177,801",197938,,,".Onslow County, North Carolina",,,
Orange,"133,801","133,693",148476,,,".Orange County, North Carolina",,,
Pamlico,"13,144","13,143",12726,,,".Pamlico County, North Carolina",,,
Pasquotank,"40,661","40,661",39824,,,".Pasquotank County, North Carolina",,,
Pender,"52,217","52,196",63060,,,".Pender County, North Carolina",,,
Perquimans,"13,453","13,452",13463,,,".Perquimans County, North Carolina",,,
Person,"39,464","39,476",39490,,,".Person County, North Carolina",,,
Pitt,"168,148","168,176",180742,,,".Pitt County, North Carolina",,,
Polk,"20,510","20,516",20724,,,".Polk County, North Carolina",,,
Randolph,"141,752","141,824",143667,,,".Randolph County, North Carolina",,,
Richmond,"46,639","46,647",44829,,,".Richmond County, North Carolina",,,
Robeson,"134,168","134,229",130625,,,".Robeson County, North Carolina",,,
Rockingham,"93,643","93,645",91010,,,".Rockingham County, North Carolina",,,
Rowan,"138,428","138,494",142088,,,".Rowan County, North Carolina",,,
Rutherford,"67,810","67,819",67029,,,".Rutherford County, North Carolina",,,
Sampson,"63,431","63,471",63531,,,".Sampson County, North Carolina",,,
Scotland,"36,157","36,160",34823,,,".Scotland County, North Carolina",,,
Stanly,"60,585","60,586",62806,,,".Stanly County, North Carolina",,,
Stokes,"47,401","47,413",45591,,,".Stokes County, North Carolina",,,
Surry,"73,673","73,749",71783,,,".Surry County, North Carolina",,,
Swain,"13,981","13,978",14271,,,".Swain County, North Carolina",,,
Transylvania,"33,090","33,089",34385,,,".Transylvania County, North Carolina",,,
Tyrrell,"4,407","4,407",4016,,,".Tyrrell County, North Carolina",,,
Union,"201,292","201,332",239859,,,".Union County, North Carolina",,,
Vance,"45,422","45,408",44535,,,".Vance County, North Carolina",,,
Wake,"900,993","901,052",1111761,,,".Wake County, North Carolina",,,
Warren,"20,972","21,028",19731,,,".Warren County, North Carolina",,,
Washington,"13,228","13,193",11580,,,".Washington County, North Carolina",,,
Watauga,"51,079","51,061",56177,,,".Watauga County, North Carolina",,,
Wayne,"122,623","122,661",123131,,,".Wayne County, North Carolina",,,
Wilkes,"69,340","69,310",68412,,,".Wilkes County, North Carolina",,,
Wilson,"81,234","81,224",81801,,,".Wilson County, North Carolina",,,
Yadkin,"38,406","38,409",37667,,,".Yadkin County, North Carolina",,,
Yancey,"17,818","17,817",18069,,,".Yancey County, North Carolina",,,
Adams,"2,343","2,343",2216,,,".Adams County, North Dakota",,,
Barnes,"11,066","11,064",10415,,,".Barnes County, North Dakota",,,
Benson,"6,660","6,660",6832,,,".Benson County, North Dakota",,,
Billings,783,784,928,,,".Billings County, North Dakota",,,
ottineau,"6,429","6,429",6282,,,"Bottineau County, North Dakota",,,
Bowman,"3,151","3,151",3024,,,".Bowman County, North Dakota",,,
Burke,"1,968","1,968",2115,,,".Burke County, North Dakota",,,
Burleigh,"81,308","81,308",95626,,,".Burleigh County, North Dakota",,,
Cass,"149,778","149,778",181923,,,".Cass County, North Dakota",,,
Cavalier,"3,993","3,994",3762,,,".Cavalier County, North Dakota",,,
Dickey,"5,289","5,287",4872,,,".Dickey County, North Dakota",,,
Divide,"2,071","2,071",2264,,,".Divide County, North Dakota",,,
Dunn,"3,536","3,536",4424,,,".Dunn County, North Dakota",,,
Eddy,"2,385","2,385",2287,,,".Eddy County, North Dakota",,,
Emmons,"3,550","3,545",3241,,,".Emmons County, North Dakota",,,
Foster,"3,343","3,337",3210,,,".Foster County, North Dakota",,,
Golden Valley,"1,680","1,680",1761,,,".Golden Valley County, North Dakota",,,
Grand Forks,"66,861","66,864",69451,,,".Grand Forks County, North Dakota",,,
Grant,"2,394","2,394",2274,,,".Grant County, North Dakota",,,
Griggs,"2,420","2,421",2231,,,".Griggs County, North Dakota",,,
Hettinger,"2,477","2,478",2499,,,".Hettinger County, North Dakota",,,
Kidder,"2,435","2,435",2480,,,".Kidder County, North Dakota",,,
LaMoure,"4,139","4,141",4046,,,".LaMoure County, North Dakota",,,
Logan,"1,990","1,988",1850,,,".Logan County, North Dakota",,,
McHenry,"5,395","5,392",5745,,,".McHenry County, North Dakota",,,
McIntosh,"2,809","2,813",2497,,,".McIntosh County, North Dakota",,,
McKenzie,"6,360","6,359",15024,,,".McKenzie County, North Dakota",,,
McLean,"8,962","8,962",9450,,,".McLean County, North Dakota",,,
Mercer,"8,424","8,424",8187,,,".Mercer County, North Dakota",,,
Morton,"27,471","27,469",31364,,,".Morton County, North Dakota",,,
Mountrail,"7,673","7,663",10545,,,".Mountrail County, North Dakota",,,
Nelson,"3,126","3,126",2879,,,".Nelson County, North Dakota",,,
Oliver,"1,846","1,848",1959,,,".Oliver County, North Dakota",,,
Pembina,"7,413","7,403",6801,,,".Pembina County, North Dakota",,,
Pierce,"4,357","4,359",3975,,,".Pierce County, North Dakota",,,
Ramsey,"11,451","11,451",11519,,,".Ramsey County, North Dakota",,,
Ransom,"5,457","5,457",5218,,,".Ransom County, North Dakota",,,
Renville,"2,470","2,470",2327,,,".Renville County, North Dakota",,,
Richland,"16,321","16,321",16177,,,".Richland County, North Dakota",,,
Rolette,"13,937","13,939",14176,,,".Rolette County, North Dakota",,,
Sargent,"3,829","3,829",3898,,,".Sargent County, North Dakota",,,
Sheridan,"1,321","1,321",1315,,,".Sheridan County, North Dakota",,,
Sioux,"4,153","4,154",4230,,,".Sioux County, North Dakota",,,
Slope,727,727,750,,,".Slope County, North Dakota",,,
Stark,"24,199","24,199",31489,,,".Stark County, North Dakota",,,
Steele,"1,975","1,975",1890,,,".Steele County, North Dakota",,,
Stutsman,"21,100","21,100",20704,,,".Stutsman County, North Dakota",,,
Towner,"2,246","2,246",2189,,,".Towner County, North Dakota",,,
Traill,"8,121","8,121",8036,,,".Traill County, North Dakota",,,
Walsh,"11,119","11,126",10641,,,".Walsh County, North Dakota",,,
Ward,"61,675","61,675",67641,,,".Ward County, North Dakota",,,
Wells,"4,207","4,207",3834,,,".Wells County, North Dakota",,,
Williams,"22,398","22,399",37589,,,".Williams County, North Dakota",,,
Adams,"28,550","28,541",27698,,,".Adams County, Ohio",,,
Allen,"106,331","106,313",102351,,,".Allen County, Ohio",,,
Ashland,"53,139","53,140",53484,,,".Ashland County, Ohio",,,
Ashtabula,"101,497","101,489",97241,,,".Ashtabula County, Ohio",,,
Athens,"64,757","64,764",65327,,,".Athens County, Ohio",,,
Auglaize,"45,949","45,917",45656,,,".Auglaize County, Ohio",,,
Belmont,"70,400","70,400",67006,,,".Belmont County, Ohio",,,
Brown,"44,846","44,826",43432,,,".Brown County, Ohio",,,
Butler,"368,130","368,136",383134,,,".Butler County, Ohio",,,
Carroll,"28,836","28,834",26914,,,".Carroll County, Ohio",,,
Champaign,"40,097","40,101",38885,,,".Champaign County, Ohio",,,
Clark,"138,333","138,339",134083,,,".Clark County, Ohio",,,
Clermont,"197,363","197,366",206428,,,".Clermont County, Ohio",,,
Clinton,"42,040","42,048",41968,,,".Clinton County, Ohio",,,
Columbiana,"107,841","107,852",101883,,,".Columbiana County, Ohio",,,
Coshocton,"36,901","36,900",36600,,,".Coshocton County, Ohio",,,
Crawford,"43,784","43,783",41494,,,".Crawford County, Ohio",,,
Cuyahoga,"1,280,122","1,280,114",1235072,,,".Cuyahoga County, Ohio",,,
Darke,"52,959","52,968",51113,,,".Darke County, Ohio",,,
Defiance,"39,037","39,026",38087,,,".Defiance County, Ohio",,,
Delaware,"174,214","174,172",209177,,,".Delaware County, Ohio",,,
Erie,"77,079","77,063",74266,,,".Erie County, Ohio",,,
Fairfield,"146,156","146,194",157574,,,".Fairfield County, Ohio",,,
Fayette,"29,030","29,034",28525,,,".Fayette County, Ohio",,,
Franklin,"1,163,414","1,163,476",1316756,,,".Franklin County, Ohio",,,
Fulton,"42,698","42,698",42126,,,".Fulton County, Ohio",,,
Gallia,"30,934","30,942",29898,,,".Gallia County, Ohio",,,
Geauga,"93,389","93,405",93649,,,".Geauga County, Ohio",,,
Greene,"161,573","161,577",168937,,,".Greene County, Ohio",,,
Guernsey,"40,087","40,092",38875,,,".Guernsey County, Ohio",,,
Hamilton,"802,374","802,371",817473,,,".Hamilton County, Ohio",,,
Hancock,"74,782","74,789",75783,,,".Hancock County, Ohio",,,
Hardin,"32,058","32,063",31365,,,".Hardin County, Ohio",,,
Harrison,"15,864","15,860",15040,,,".Harrison County, Ohio",,,
Henry,"28,215","28,215",27006,,,".Henry County, Ohio",,,
Highland,"43,589","43,606",43161,,,".Highland County, Ohio",,,
Hocking,"29,380","29,369",28264,,,".Hocking County, Ohio",,,
Holmes,"42,366","42,363",43960,,,".Holmes County, Ohio",,,
Huron,"59,626","59,623",58266,,,".Huron County, Ohio",,,
Jackson,"33,225","33,219",32413,,,".Jackson County, Ohio",,,
Jefferson,"69,709","69,716",65325,,,".Jefferson County, Ohio",,,
Knox,"60,921","60,928",62322,,,".Knox County, Ohio",,,
Lake,"230,041","230,051",230149,,,".Lake County, Ohio",,,
Lawrence,"62,450","62,448",59463,,,".Lawrence County, Ohio",,,
Licking,"166,492","166,482",176862,,,".Licking County, Ohio",,,
Logan,"45,858","45,848",45672,,,".Logan County, Ohio",,,
Lorain,"301,356","301,374",309833,,,".Lorain County, Ohio",,,
Lucas,"441,815","441,815",428348,,,".Lucas County, Ohio",,,
Madison,"43,435","43,438",44731,,,".Madison County, Ohio",,,
Mahoning,"238,823","238,787",228683,,,".Mahoning County, Ohio",,,
Marion,"66,501","66,505",65093,,,".Marion County, Ohio",,,
Medina,"172,332","172,333",179746,,,".Medina County, Ohio",,,
Meigs,"23,770","23,767",22907,,,".Meigs County, Ohio",,,
Mercer,"40,814","40,816",41172,,,".Mercer County, Ohio",,,
Miami,"102,506","102,503",106987,,,".Miami County, Ohio",,,
Monroe,"14,642","14,631",13654,,,".Monroe County, Ohio",,,
Montgomery,"535,153","535,200",531687,,,".Montgomery County, Ohio",,,
Morgan,"15,054","15,044",14508,,,".Morgan County, Ohio",,,
Morrow,"34,827","34,825",35328,,,".Morrow County, Ohio",,,
Muskingum,"86,074","86,086",86215,,,".Muskingum County, Ohio",,,
Noble,"14,645","14,655",14424,,,".Noble County, Ohio",,,
Ottawa,"41,428","41,433",40525,,,".Ottawa County, Ohio",,,
Paulding,"19,614","19,610",18672,,,".Paulding County, Ohio",,,
Perry,"36,058","36,037",36134,,,".Perry County, Ohio",,,
Pickaway,"55,698","55,684",58457,,,".Pickaway County, Ohio",,,
Pike,"28,709","28,571",27772,,,".Pike County, Ohio",,,
Portage,"161,419","161,424",162466,,,".Portage County, Ohio",,,
Preble,"42,270","42,254",40882,,,".Preble County, Ohio",,,
Putnam,"34,499","34,496",33861,,,".Putnam County, Ohio",,,
Richland,"124,475","124,474",121154,,,".Richland County, Ohio",,,
Ross,"78,064","78,076",76666,,,".Ross County, Ohio",,,
Sandusky,"60,944","60,946",58518,,,".Sandusky County, Ohio",,,
Scioto,"79,499","79,650",75314,,,".Scioto County, Ohio",,,
Seneca,"56,745","56,742",55178,,,".Seneca County, Ohio",,,
Shelby,"49,423","49,455",48590,,,".Shelby County, Ohio",,,
Stark,"375,586","375,591",370606,,,".Stark County, Ohio",,,
Summit,"541,781","541,772",541013,,,".Summit County, Ohio",,,
Trumbull,"210,312","210,332",197974,,,".Trumbull County, Ohio",,,
Tuscarawas,"92,582","92,585",91987,,,".Tuscarawas County, Ohio",,,
Union,"52,300","52,331",58988,,,".Union County, Ohio",,,
Van Wert,"28,744","28,759",28275,,,".Van Wert County, Ohio",,,
Vinton,"13,435","13,430",13085,,,".Vinton County, Ohio",,,
Warren,"212,693","212,798",234602,,,".Warren County, Ohio",,,
Washington,"61,778","61,787",59911,,,".Washington County, Ohio",,,
Wayne,"114,520","114,516",115710,,,".Wayne County, Ohio",,,
Williams,"37,642","37,652",36692,,,".Williams County, Ohio",,,
Wood,"125,488","125,489",130817,,,".Wood County, Ohio",,,
Wyandot,"22,615","22,617",21772,,,".Wyandot County, Ohio",,,
Adair,"22,683","22,668",22194,,,".Adair County, Oklahoma",,,
Alfalfa,"5,642","5,639",5702,,,".Alfalfa County, Oklahoma",,,
Atoka,"14,182","14,165",13758,,,".Atoka County, Oklahoma",,,
Beaver,"5,636","5,636",5311,,,".Beaver County, Oklahoma",,,
Beckham,"22,119","22,119",21859,,,".Beckham County, Oklahoma",,,
Blaine,"11,943","11,943",9429,,,".Blaine County, Oklahoma",,,
Bryan,"42,416","42,416",47995,,,".Bryan County, Oklahoma",,,
Caddo,"29,600","29,598",28762,,,".Caddo County, Oklahoma",,,
Canadian,"115,541","115,566",148306,,,".Canadian County, Oklahoma",,,
Carter,"47,557","47,729",48111,,,".Carter County, Oklahoma",,,
Cherokee,"46,987","46,992",48657,,,".Cherokee County, Oklahoma",,,
Choctaw,"15,205","15,199",14672,,,".Choctaw County, Oklahoma",,,
Cimarron,"2,475","2,475",2137,,,".Cimarron County, Oklahoma",,,
Cleveland,"255,755","255,990",284014,,,".Cleveland County, Oklahoma",,,
Coal,"5,925","5,927",5495,,,".Coal County, Oklahoma",,,
Comanche,"124,098","124,098",120749,,,".Comanche County, Oklahoma",,,
Cotton,"6,193","6,190",5666,,,".Cotton County, Oklahoma",,,
Craig,"15,029","15,027",14142,,,".Craig County, Oklahoma",,,
Creek,"69,967","69,992",71522,,,".Creek County, Oklahoma",,,
Custer,"27,469","27,540",29003,,,".Custer County, Oklahoma",,,
Delaware,"41,487","41,498",43009,,,".Delaware County, Oklahoma",,,
Dewey,"4,810","4,810",4891,,,".Dewey County, Oklahoma",,,
Ellis,"4,151","4,151",3859,,,".Ellis County, Oklahoma",,,
Garfield,"60,580","60,580",61056,,,".Garfield County, Oklahoma",,,
Garvin,"27,576","27,571",27711,,,".Garvin County, Oklahoma",,,
Grady,"52,431","52,430",55834,,,".Grady County, Oklahoma",,,
Grant,"4,527","4,532",4333,,,".Grant County, Oklahoma",,,
Greer,"6,239","6,239",5712,,,".Greer County, Oklahoma",,,
Harmon,"2,922","2,922",2653,,,".Harmon County, Oklahoma",,,
Harper,"3,685","3,682",3688,,,".Harper County, Oklahoma",,,
Haskell,"12,769","12,775",12627,,,".Haskell County, Oklahoma",,,
Hughes,"14,003","14,000",13279,,,".Hughes County, Oklahoma",,,
Jackson,"26,446","26,446",24530,,,".Jackson County, Oklahoma",,,
Jefferson,"6,472","6,472",6002,,,".Jefferson County, Oklahoma",,,
Johnston,"10,957","10,957",11085,,,".Johnston County, Oklahoma",,,
Kay,"46,562","46,562",43538,,,".Kay County, Oklahoma",,,
Kingfisher,"15,034","15,025",15765,,,".Kingfisher County, Oklahoma",,,
Kiowa,"9,446","9,446",8708,,,".Kiowa County, Oklahoma",,,
Latimer,"11,154","11,156",10073,,,".Latimer County, Oklahoma",,,
Le Flore,"50,384","50,382",49853,,,".Le Flore County, Oklahoma",,,
Lincoln,"34,273","34,274",34877,,,".Lincoln County, Oklahoma",,,
Logan,"41,848","41,854",48011,,,".Logan County, Oklahoma",,,
Love,"9,423","9,416",10253,,,".Love County, Oklahoma",,,
McClain,"34,506","34,503",40474,,,".McClain County, Oklahoma",,,
McCurtain,"33,151","33,154",32832,,,".McCurtain County, Oklahoma",,,
McIntosh,"20,252","20,247",19596,,,".McIntosh County, Oklahoma",,,
Major,"7,527","7,526",7629,,,".Major County, Oklahoma",,,
Marshall,"15,840","15,838",16931,,,".Marshall County, Oklahoma",,,
Mayes,"41,259","41,266",41100,,,".Mayes County, Oklahoma",,,
Murray,"13,488","13,488",14073,,,".Murray County, Oklahoma",,,
Muskogee,"70,990","70,997",67997,,,".Muskogee County, Oklahoma",,,
Noble,"11,561","11,566",11131,,,".Noble County, Oklahoma",,,
Nowata,"10,536","10,536",10076,,,".Nowata County, Oklahoma",,,
Okfuskee,"12,191","12,191",11993,,,".Okfuskee County, Oklahoma",,,
Oklahoma,"718,633","718,385",797434,,,".Oklahoma County, Oklahoma",,,
Okmulgee,"40,069","40,062",38465,,,".Okmulgee County, Oklahoma",,,
Osage,"47,472","47,473",46963,,,".Osage County, Oklahoma",,,
Ottawa,"31,848","31,848",31127,,,".Ottawa County, Oklahoma",,,
Pawnee,"16,577","16,570",16376,,,".Pawnee County, Oklahoma",,,
Payne,"77,350","77,347",81784,,,".Payne County, Oklahoma",,,
Pittsburg,"45,837","45,827",43654,,,".Pittsburg County, Oklahoma",,,
Pontotoc,"37,492","37,488",38284,,,".Pontotoc County, Oklahoma",,,
Pottawatomie,"69,442","69,443",72592,,,".Pottawatomie County, Oklahoma",,,
Pushmataha,"11,572","11,578",11096,,,".Pushmataha County, Oklahoma",,,
Roger Mills,"3,647","3,647",3583,,,".Roger Mills County, Oklahoma",,,
Rogers,"86,905","86,914",92459,,,".Rogers County, Oklahoma",,,
Seminole,"25,482","25,482",24258,,,".Seminole County, Oklahoma",,,
Sequoyah,"42,391","42,428",41569,,,".Sequoyah County, Oklahoma",,,
Stephens,"45,048","45,047",43143,,,".Stephens County, Oklahoma",,,
Texas,"20,640","20,640",19983,,,".Texas County, Oklahoma",,,
Tillman,"7,992","7,991",7250,,,".Tillman County, Oklahoma",,,
Tulsa,"603,403","603,430",651552,,,".Tulsa County, Oklahoma",,,
Wagoner,"73,085","73,082",81289,,,".Wagoner County, Oklahoma",,,
Washington,"50,976","50,979",51527,,,".Washington County, Oklahoma",,,
Washita,"11,629","11,558",10916,,,".Washita County, Oklahoma",,,
