County,Census,Estimates Base,Today,,,,,
Seminole,"422,718","422,710",471826,,,".Seminole County, Florida",,,
Sumter,"93,420","93,420",132420,,,".Sumter County, Florida",,,
Suwannee,"41,551","41,555",44417,,,".Suwannee County, Florida",,,
Taylor,"22,570","22,574",21569,,,".Taylor County, Florida",,,
Union,"15,535","15,535",15237,,,".Union County, Florida",,,
Volusia,"494,593","494,596",553284,,,".Volusia County, Florida",,,
Wakulla,"30,776","30,783",33739,,,".Wakulla County, Florida",,,
Walton,"55,043","55,046",74071,,,".Walton County, Florida",,,
Washington,"24,896","24,896",25473,,,".Washington County, Florida",,,
Appling,"18,236","18,238",18386,,,".Appling County, Georgia",,,
Atkinson,"8,375","8,380",8165,,,".Atkinson County, Georgia",,,
Bacon,"11,096","11,097",11164,,,".Bacon County, Georgia",,,
Baker,"3,451","3,447",3038,,,".Baker County, Georgia",,,
Baldwin,"45,720","45,840",44890,,,".Baldwin County, Georgia",,,
Banks,"18,395","18,379",19234,,,".Banks County, Georgia",,,
Barrow,"69,367","69,356",83240,,,".Barrow County, Georgia",,,
Bartow,"100,157","100,092",107738,,,".Bartow County, Georgia",,,
Ben Hill,"17,634","17,660",16700,,,".Ben Hill County, Georgia",,,
